VANID,Signup Date,Status,Role,Event Name,Event Type,Event Date,Shift Start Time,Shift End Time,Location Name
114820792,2/28/24,Completed,Volunteer,OCCC Volunteer Day ,Group Volunteer,2/16/24,2024-02-16 10:00:00.0000000 -06:00,2024-02-16 12:00:00.0000000 -06:00,
114820794,7/7/23,Completed,Volunteer,Volunteer Paint Party at NEW Sisu HQ,Group Volunteer,7/15/23,2023-07-15 09:00:00.0000000 -05:00,2023-07-15 15:00:00.0000000 -05:00,Sisu Youth Services
114820877,5/3/23,Completed,Volunteer,April Meal Train ,Meal Train,4/9/23,2023-04-09 17:00:00.0000000 -04:00,2023-04-09 18:00:00.0000000 -04:00,Sisu Youth Services
114820877,4/4/23,Completed,Volunteer,Meal Train,Meal Train,3/12/23,2023-03-12 17:00:00.0000000 -04:00,2023-03-12 18:00:00.0000000 -04:00,Sisu Youth Services
114820877,8/16/23,Completed,Volunteer,August Meal Train ,Meal Train,8/13/23,2023-08-13 16:30:00.0000000 -04:00,2023-08-13 18:00:00.0000000 -04:00,Sisu Youth Services
114820877,10/25/23,Completed,Volunteer,Sept Meal Train ,Meal Train,9/10/23,2023-09-10 16:30:00.0000000 -05:00,2023-09-10 18:30:00.0000000 -05:00,Sisu Youth Services
114820877,10/25/23,Completed,Volunteer,Oct Meal Train ,Meal Train,10/8/23,2023-10-08 16:30:00.0000000 -05:00,2023-10-08 18:00:00.0000000 -05:00,Sisu Youth Services
114820877,3/5/25,Completed,Volunteer,Meal Train,Meal Train,2/9/25,2025-02-09 16:00:00.0000000 -06:00,2025-02-09 19:00:00.0000000 -06:00,
114820877,2/15/23,Completed,Volunteer,Meal Train,Meal Train,1/8/23,2023-01-08 17:00:00.0000000 -05:00,2023-01-08 18:00:00.0000000 -05:00,Sisu Youth Services
114820877,3/10/23,Completed,Volunteer,Meal Train,Meal Train,2/6/23,2023-02-06 17:00:00.0000000 -05:00,2023-02-06 18:00:00.0000000 -05:00,Sisu Youth Services
114820877,12/5/23,Completed,Volunteer,Dec Meal Train,Meal Train,12/9/23,2023-12-09 16:00:00.0000000 -06:00,2023-12-09 17:30:00.0000000 -06:00,Sisu Youth Services
114820877,1/2/24,Completed,Volunteer,January Meal Train,Meal Train,1/14/24,2024-01-14 16:30:00.0000000 -06:00,2024-01-14 18:00:00.0000000 -06:00,Sisu Youth Services
114820877,2/27/24,Completed,Volunteer,March Meal Train,Meal Train,3/9/24,2024-03-09 16:30:00.0000000 -06:00,2024-03-09 18:00:00.0000000 -06:00,Sisu Youth Services
114820877,5/3/24,Completed,Volunteer,April Meal Train,Meal Train,4/14/24,2024-04-14 16:00:00.0000000 -05:00,2024-04-14 18:30:00.0000000 -05:00,Sisu Youth Services
114820877,5/7/24,Completed,Volunteer,May Meal Train,Meal Train,5/12/24,2024-05-12 16:00:00.0000000 -05:00,2024-05-12 19:00:00.0000000 -05:00,Sisu Youth Services
114820877,6/7/24,Completed,Volunteer,June Meal Train,Meal Train,6/9/24,2024-06-09 17:00:00.0000000 -05:00,2024-06-09 19:30:00.0000000 -05:00,Sisu Youth Services
114820877,7/2/24,Completed,Volunteer,Meal Train,Meal Train,7/14/24,2024-07-14 16:30:00.0000000 -05:00,2024-07-14 19:30:00.0000000 -05:00,Sisu Youth Services
114820877,8/19/24,Completed,Volunteer,Meal Train,Meal Train,8/11/24,2024-08-11 16:30:00.0000000 -05:00,2024-08-11 19:30:00.0000000 -05:00,Sisu Youth Services
114820877,9/2/24,Completed,Volunteer,Meal Train,Meal Train,9/15/24,2024-09-15 16:30:00.0000000 -05:00,2024-09-15 19:30:00.0000000 -05:00,Sisu Youth Services
114820877,1/1/25,Completed,Volunteer,Meal Train,Meal Train,10/12/24,2024-10-12 16:30:00.0000000 -05:00,2024-10-12 19:30:00.0000000 -05:00,Sisu Youth Services
114820877,1/1/25,Completed,Volunteer,Meal Train,Meal Train,11/10/24,2024-11-10 16:30:00.0000000 -06:00,2024-11-10 19:30:00.0000000 -06:00,Sisu Youth Services
114820877,1/1/25,Completed,Volunteer,Meal Train,Meal Train,12/8/24,2024-12-08 16:30:00.0000000 -06:00,2024-12-08 19:30:00.0000000 -06:00,Sisu Youth Services
114820877,1/20/25,Completed,Volunteer,Meal Train,Meal Train,1/12/25,2025-01-12 16:00:00.0000000 -06:00,2025-01-12 19:00:00.0000000 -06:00,Sisu Youth Services
114820877,2/13/25,Completed,Volunteer,Meal Train,Meal Train,2/8/25,2025-02-08 16:00:00.0000000 -06:00,2025-02-08 19:00:00.0000000 -06:00,Sisu Youth Services
114820877,3/10/25,Completed,Volunteer,Meal Train,Meal Train,3/9/25,2025-03-09 16:00:00.0000000 -05:00,2025-03-09 19:00:00.0000000 -05:00,Sisu Youth Services
114820877,4/17/25,Completed,Volunteer,Meal Train,Meal Train,4/13/25,2025-04-13 16:00:00.0000000 -05:00,2025-04-13 19:00:00.0000000 -05:00,Sisu Youth Services
114820877,6/26/25,Completed,Volunteer,Meal Train,Meal Train,6/8/25,2025-06-08 16:00:00.0000000 -05:00,2025-06-08 19:00:00.0000000 -05:00,Sisu Youth Services
114820877,8/18/25,Completed,Volunteer,Meal Train,Meal Train,7/13/25,2025-07-13 16:00:00.0000000 -05:00,2025-07-13 19:00:00.0000000 -05:00,Sisu Youth Services
114820877,8/18/25,Completed,Volunteer,Meal Train,Meal Train,8/10/25,2025-08-10 16:00:00.0000000 -05:00,2025-08-10 19:00:00.0000000 -05:00,Sisu Youth Services
114820877,10/22/25,Completed,Volunteer,Meal Train,Meal Train,9/14/25,2025-09-14 16:00:00.0000000 -05:00,2025-09-14 19:00:00.0000000 -05:00,Sisu Youth Services
114820877,10/22/25,Completed,Volunteer,Meal Train,Meal Train,10/12/25,2025-10-12 16:00:00.0000000 -05:00,2025-10-12 19:00:00.0000000 -05:00,Sisu Youth Services
114820877,10/22/25,Sched-Web,Volunteer,Meal Train,Meal Train,11/9/25,2025-11-09 16:00:00.0000000 -06:00,2025-11-09 19:00:00.0000000 -06:00,Sisu Youth Services
114820909,2/27/25,Completed,Volunteer,Shelter Shift ,Shelter Shift,1/30/25,2025-01-30 16:00:00.0000000 -06:00,2025-01-30 19:00:00.0000000 -06:00,Sisu Youth Services
114820909,2/27/25,Completed,Volunteer,Shelter Shift ,Shelter Shift,2/16/25,2025-02-16 16:00:00.0000000 -06:00,2025-02-16 19:00:00.0000000 -06:00,Sisu Youth Services
114820909,4/16/25,Completed,Volunteer,Shelter Shift ,Shelter Shift,3/9/25,2025-03-09 19:00:00.0000000 -05:00,2025-03-09 22:00:00.0000000 -05:00,Sisu Youth Services
114820909,4/16/25,Completed,Volunteer,Shelter Shift ,Shelter Shift,3/16/25,2025-03-16 19:00:00.0000000 -05:00,2025-03-16 22:00:00.0000000 -05:00,Sisu Youth Services
114820909,4/29/25,Completed,Volunteer,Shelter Shift ,Shelter Shift,4/20/25,2025-04-20 17:30:00.0000000 -05:00,2025-04-20 19:30:00.0000000 -05:00,Sisu Youth Services
114820909,7/29/24,Completed,Volunteer,Shelter Shifts,Shelter Shift,7/5/24,2024-07-05 16:00:00.0000000 -04:00,2024-07-05 19:00:00.0000000 -04:00,Sisu Youth Services
114820909,7/29/24,Completed,Volunteer,Shelter Shifts,Shelter Shift,7/14/24,2024-07-14 16:00:00.0000000 -04:00,2024-07-14 19:00:00.0000000 -04:00,Sisu Youth Services
114820909,8/19/24,Completed,Volunteer,Shelter Shifts,Shelter Shift,8/4/24,2024-08-04 16:00:00.0000000 -04:00,2024-08-04 19:00:00.0000000 -04:00,Sisu Youth Services
114820909,8/19/24,Completed,Volunteer,Shelter Shifts,Shelter Shift,8/11/24,2024-08-11 16:00:00.0000000 -04:00,2024-08-11 19:00:00.0000000 -04:00,Sisu Youth Services
114820909,10/21/24,Completed,Volunteer,Shelter Shifts,Shelter Shift,9/8/24,2024-09-08 16:00:00.0000000 -04:00,2024-09-08 19:00:00.0000000 -04:00,Sisu Youth Services
114820909,10/21/24,Completed,Volunteer,Shelter Shifts,Shelter Shift,9/15/24,2024-09-15 16:00:00.0000000 -04:00,2024-09-15 19:00:00.0000000 -04:00,Sisu Youth Services
114820909,10/21/24,Completed,Volunteer,Shelter Shifts,Shelter Shift,10/6/24,2024-10-06 16:00:00.0000000 -04:00,2024-10-06 19:00:00.0000000 -04:00,Sisu Youth Services
114820909,10/21/24,Completed,Volunteer,Shelter Shifts,Shelter Shift,10/13/24,2024-10-13 17:30:00.0000000 -04:00,2024-10-13 19:30:00.0000000 -04:00,Sisu Youth Services
114820909,11/19/24,Completed,Volunteer,Shelter Shifts,Shelter Shift,11/10/24,2024-11-10 16:00:00.0000000 -05:00,2024-11-10 19:00:00.0000000 -05:00,Sisu Youth Services
